code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units
ABW,Aruba,29-04-2020,100,0,2,0,936.628,0,18.733,0,,,,,
AFG,Afghanistan,29-04-2020,1827,124,60,3,46.932,3.185,1.541,0.077,,,,,
AGO,Angola,29-04-2020,27,0,2,0,0.822,0,0.061,0,,,,,
AIA,Anguilla,29-04-2020,3,0,0,0,199.973,0,0,0,,,,,
ALB,Albania,29-04-2020,750,14,30,2,260.616,4.865,10.425,0.695,,,,,
AND,Andorra,29-04-2020,748,5,41,1,9680.968,64.712,530.641,12.942,,,,,
ARE,United Arab Emirates,29-04-2020,11380,541,89,7,1150.611,54.7,8.999,0.708,,,,,
ARG,Argentina,29-04-2020,4114,124,207,10,91.026,2.744,4.58,0.221,56058,2458,1.24,0.054,tests performed
ARM,Armenia,29-04-2020,1932,65,30,0,651.99,21.935,10.124,0,,,,,
ATG,Antigua and Barbuda,29-04-2020,24,0,3,0,245.078,0,30.635,0,,,,,
AUS,Australia,29-04-2020,6738,13,88,4,264.237,0.51,3.451,0.157,544410,13731,21.35,0.538,tests performed
AUT,Austria,29-04-2020,15314,58,569,20,1700.346,6.44,63.177,2.221,247754,8176,27.509,0.908,tests performed
AZE,Azerbaijan,29-04-2020,1717,39,22,0,169.343,3.846,2.17,0,,,,,
BDI,Burundi,29-04-2020,15,0,1,0,1.261,0,0.084,0,,,,,
BEL,Belgium,29-04-2020,47334,647,7331,124,4084.173,55.826,632.549,10.699,,,,,
BEN,Benin,29-04-2020,64,0,1,0,5.279,0,0.082,0,,,,,
BES,Bonaire Sint Eustatius and Saba,29-04-2020,6,0,0,0,228.824,0,0,0,,,,,
BFA,Burkina Faso,29-04-2020,638,3,42,0,30.522,0.144,2.009,0,,,,,
BGD,Bangladesh,29-04-2020,6462,549,155,3,39.238,3.334,0.941,0.018,59701,4968,0.363,0.03,samples tested
BGR,Bulgaria,29-04-2020,1399,36,58,0,201.34,5.181,8.347,0,45208,,6.506,,tests performed
BHR,Bahrain,29-04-2020,2811,88,8,0,1651.991,51.717,4.702,0,126905,5199,74.581,3.055,units unclear
BHS,Bahamas,29-04-2020,80,0,11,0,203.434,0,27.972,0,,,,,
BIH,Bosnia and Herzegovina,29-04-2020,1588,24,62,2,484.026,7.315,18.898,0.61,,,,,
BLR,Belarus,29-04-2020,12208,919,79,4,1291.945,97.256,8.36,0.423,,,,,
BLZ,Belize,29-04-2020,18,0,2,0,45.269,0,5.03,0,,,,,
BMU,Bermuda,29-04-2020,110,0,6,0,1766.416,0,96.35,0,,,,,
BOL,Bolivia,29-04-2020,1053,39,55,2,90.208,3.341,4.712,0.171,,,,,
BRA,Brazil,29-04-2020,71886,5385,5017,474,338.193,25.334,23.603,2.23,,,,,
BRB,Barbados,29-04-2020,80,0,6,0,278.386,0,20.879,0,,,,,
BRN,Brunei,29-04-2020,138,0,1,0,315.441,0,2.286,0,,,,,
BTN,Bhutan,29-04-2020,7,0,0,0,9.072,0,0,0,,,,,
BWA,Botswana,29-04-2020,23,1,1,0,9.78,0.425,0.425,0,,,,,
CAF,Central African Republic,29-04-2020,50,0,0,0,10.352,0,0,0,,,,,
CAN,Canada,29-04-2020,50015,1526,2859,152,1325.176,40.432,75.751,4.027,758412,17553,20.095,0.465,people tested
CHE,Switzerland,29-04-2020,29181,100,1379,27,3371.726,11.555,159.337,3.12,260500,4000,30.1,0.462,tests performed
CHL,Chile,29-04-2020,14365,552,207,9,751.457,28.876,10.829,0.471,,,,,
CHN,China,29-04-2020,83940,2,4637,0,58.319,0.001,3.222,0,,,,,
CIV,Cote d'Ivoire,29-04-2020,1183,19,14,0,44.848,0.72,0.531,0,,,,,
CMR,Cameroon,29-04-2020,1806,185,59,1,68.033,6.969,2.223,0.038,,,,,
COD,Democratic Republic of Congo,29-04-2020,491,20,30,0,5.482,0.223,0.335,0,,,,,
COG,Congo,29-04-2020,207,0,8,0,37.513,0,1.45,0,,,,,
COL,Colombia,29-04-2020,5949,352,269,16,116.916,6.918,5.287,0.314,,,,,
CPV,Cape Verde,29-04-2020,113,4,1,0,203.242,7.194,1.799,0,,,,,
CRI,Costa Rica,29-04-2020,705,8,6,0,138.395,1.57,1.178,0,9621,632,1.889,0.124,people tested
CUB,Cuba,29-04-2020,1437,48,58,2,126.869,4.238,5.121,0.177,,,,,
CUW,Curacao,29-04-2020,16,0,1,0,97.502,0,6.094,0,,,,,
CYM,Cayman Islands,29-04-2020,70,0,1,0,1065.125,0,15.216,0,,,,,
CYP,Cyprus,29-04-2020,837,15,20,0,955.59,17.125,22.834,0,,,,,
CZE,Czech Republic,29-04-2020,7504,55,227,4,700.72,5.136,21.197,0.374,,,,,
DEU,Germany,29-04-2020,157641,1304,6115,202,1881.518,15.564,72.985,2.411,,,,,
DJI,Djibouti,29-04-2020,1072,37,2,0,1085.018,37.449,2.024,0,,,,,
DMA,Dominica,29-04-2020,16,0,0,0,222.25,0,0,0,,,,,
DNK,Denmark,29-04-2020,8851,153,434,7,1528.089,26.415,74.928,1.209,180062,13216,31.087,2.282,people tested
DOM,Dominican Republic,29-04-2020,6416,281,286,8,591.451,25.904,26.365,0.737,,,,,
DZA,Algeria,29-04-2020,3649,132,437,5,83.214,3.01,9.966,0.114,,,,,
ECU,Ecuador,29-04-2020,24258,1018,871,208,1374.932,57.7,49.368,11.789,,,,,
EGY,Egypt,29-04-2020,5042,260,359,22,49.27,2.541,3.508,0.215,,,,,
ERI,Eritrea,29-04-2020,39,0,0,0,10.997,0,0,0,,,,,
ESH,Western Sahara,29-04-2020,6,0,0,0,10.045,0,0,0,,,,,
EST,Estonia,29-04-2020,1660,13,50,0,1251.377,9.8,37.692,0,,,,,
ETH,Ethiopia,29-04-2020,126,2,3,0,1.096,0.017,0.026,0,16434,766,0.143,0.007,tests performed
FIN,Finland,29-04-2020,4740,45,199,6,855.485,8.122,35.916,1.083,,,,,
FJI,Fiji,29-04-2020,18,0,0,0,20.079,0,0,0,,,,,
FLK,Falkland Islands,29-04-2020,13,0,0,0,3732.415,0,0,0,,,,,
FRA,France,29-04-2020,126835,1065,23660,367,1943.131,16.316,362.475,5.622,,,,,
FRO,Faeroe Islands,29-04-2020,187,0,0,0,3826.87,0,0,0,,,,,
GAB,Gabon,29-04-2020,238,27,3,0,106.931,12.131,1.348,0,,,,,
GBR,United Kingdom,29-04-2020,161145,3996,21678,586,2373.759,58.863,319.329,8.632,599339,29571,8.829,0.436,people tested
GEO,Georgia,29-04-2020,511,14,6,0,128.097,3.509,1.504,0,,,,,
GGY,Guernsey,29-04-2020,247,0,13,0,,,,,,,,,
GHA,Ghana,29-04-2020,1671,121,16,5,53.777,3.894,0.515,0.161,,,,,
GIB,Gibraltar,29-04-2020,141,0,0,0,4185.094,0,0,0,,,,,
GIN,Guinea,29-04-2020,1240,77,7,0,94.42,5.863,0.533,0,,,,,
GMB,Gambia,29-04-2020,10,0,1,0,4.138,0,0.414,0,,,,,
GNB,Guinea-Bissau,29-04-2020,73,0,1,0,37.094,0,0.508,0,,,,,
