totalcase,newcase,deaths,newdeath,date
27,0,0,0,2020-01-01
27,0,0,0,2020-01-02
44,17,0,0,2020-01-03
44,0,0,0,2020-01-04
59,15,0,0,2020-01-05
59,0,0,0,2020-01-06
59,0,0,0,2020-01-07
59,0,0,0,2020-01-08
59,0,0,0,2020-01-09
59,0,0,0,2020-01-10
59,0,1,1,2020-01-11
59,0,1,0,2020-01-12
60,1,1,0,2020-01-13
60,0,1,0,2020-01-14
61,1,2,1,2020-01-15
61,0,2,0,2020-01-16
66,5,2,0,2020-01-17
83,17,2,0,2020-01-18
219,136,3,1,2020-01-19
239,20,3,0,2020-01-20
392,153,6,3,2020-01-21
534,142,17,11,2020-01-22
631,97,17,0,2020-01-23
897,266,26,9,2020-01-24
1350,453,41,15,2020-01-25
2023,673,56,15,2020-01-26
2820,797,81,25,2020-01-27
4587,1767,106,25,2020-01-28
6067,1480,132,26,2020-01-29
7823,1756,170,38,2020-01-30
9826,2003,213,43,2020-01-31
11946,2120,259,46,2020-02-01
14554,2608,305,46,2020-02-02
17372,2818,362,57,2020-02-03
20615,3243,427,65,2020-02-04
24522,3907,493,66,2020-02-05
28273,3751,565,72,2020-02-06
31491,3218,638,73,2020-02-07
34933,3442,724,86,2020-02-08
37552,2619,813,89,2020-02-09
40540,2988,910,97,2020-02-10
43105,2565,1018,108,2020-02-11
45177,2072,1115,97,2020-02-12
60328,15151,1370,255,2020-02-13
64543,4215,1383,13,2020-02-14
67103,2560,1527,144,2020-02-15
69265,2162,1669,142,2020-02-16
71332,2067,1775,106,2020-02-17
73327,1995,1873,98,2020-02-18
75191,1864,2012,139,2020-02-19
75723,532,2128,116,2020-02-20
76719,996,2247,119,2020-02-21
77804,1085,2359,112,2020-02-22
78812,1008,2463,104,2020-02-23
79339,527,2619,156,2020-02-24
80132,793,2698,79,2020-02-25
80995,863,2762,64,2020-02-26
82101,1106,2800,38,2020-02-27
83365,1264,2857,57,2020-02-28
85203,1838,2921,64,2020-02-29
87026,1823,2979,58,2020-03-01
89068,2042,3046,67,2020-03-02
90865,1797,3118,72,2020-03-03
93077,2212,3202,84,2020-03-04
95316,2239,3282,80,2020-03-05
98172,2856,3384,102,2020-03-06
102133,3961,3488,104,2020-03-07
105824,3691,3585,97,2020-03-08
109695,3871,3813,228,2020-03-09
114235,4540,4021,208,2020-03-10
118613,4378,4293,272,2020-03-11
125497,6884,4619,326,2020-03-12
133853,8356,4968,349,2020-03-13
143259,9406,5407,439,2020-03-14
154774,11515,5768,361,2020-03-15
167418,12644,6514,746,2020-03-16
180094,12676,7112,598,2020-03-17
194843,14749,7912,800,2020-03-18
213149,18306,8854,942,2020-03-19
242374,29225,9897,1043,2020-03-20
271116,28742,11266,1369,2020-03-21
305235,34119,12966,1700,2020-03-22
338235,33000,14607,1641,2020-03-23
377968,39733,16387,1780,2020-03-24
416881,38913,18651,2264,2020-03-25
468092,51211,21224,2573,2020-03-26
527839,59747,23973,2749,2020-03-27
591796,63957,27395,3422,2020-03-28
656834,65038,30888,3493,2020-03-29
715377,58543,34017,3129,2020-03-30
777187,61810,37911,3894,2020-03-31
851587,74400,42540,4629,2020-04-01
928491,76904,47447,4907,2020-04-02
1006063,77572,52403,4956,2020-04-03
1087822,81759,59036,6633,2020-04-04
1174306,86484,65181,6145,2020-04-05
1245601,71295,69859,4678,2020-04-06
1316988,71387,75125,5266,2020-04-07
1391881,74893,82788,7663,2020-04-08
1476792,84911,89224,6436,2020-04-09
1563819,87027,96669,7445,2020-04-10
1653160,89341,103890,7221,2020-04-11
1734868,81708,109916,6026,2020-04-12
1807256,72388,115182,5266,2020-04-13
1873639,66383,120553,5371,2020-04-14
1953786,80147,128157,7604,2020-04-15
2033745,79959,138677,10520,2020-04-16
2117297,83552,147386,8709,2020-04-17
2199460,82163,155954,8568,2020-04-18
2278484,79024,162447,6493,2020-04-19
2350993,72509,167483,5036,2020-04-20
2427353,76360,172819,5336,2020-04-21
2513399,86046,180103,7284,2020-04-22
2579823,66424,186204,6101,2020-04-23
2657910,78087,193648,7444,2020-04-24
2731217,73307,199080,5432,2020-04-25
2832750,101533,205326,6246,2020-04-26
2915977,83227,209254,3928,2020-04-27
2981542,65565,214146,4892,2020-04-28
3054404,72862,220664,6518,2020-04-29
3131487,77083,227335,6671,2020-04-30
3215927,84440,232869,5534,2020-05-01
3308891,92964,238707,5838,2020-05-02
3389459,80568,243476,4769,2020-05-03
3467502,78043,246999,3523,2020-05-04
3544168,76666,250977,3978,2020-05-05
3623803,79635,256880,5903,2020-05-06
3715414,89826,263495,6386,2020-05-07
3809599,94185,269243,5748,2020-05-08
3899738,90139,274511,5268,2020-05-09
3989894,90156,278951,4440,2020-05-10
4066883,76989,282361,3410,2020-05-11
4137915,71032,285930,3569,2020-05-12
4223701,85786,291696,5766,2020-05-13
4309652,85951,296883,5187,2020-05-14
4406317,96665,302253,5370,2020-05-15
4504351,98034,307398,5145,2020-05-16
4598546,94195,311675,4277,2020-05-17
4679511,80965,315005,3330,2020-05-18
